utterance,intent
"an error pops when I attempt to pay for my order, what should I do?",payment_issue
an error pops when I attempt to pay with card,payment_issue
"an error pops when I attempt to pay with card, can you help me?",payment_issue
"an error pops when I attempt to pay with card, could you help me?",payment_issue
"an error pops when I attempt to pay with card, what can I do?",payment_issue
"an error pops when i attempt to pay with card, what do i have to do?",payment_issue
"an error pops when I attempt to pay with card, what should I do?",payment_issue
"an error pops when i attempt to pay, can u help me?",payment_issue
"an error pops when I attempt to pay, can you help me?",payment_issue
"an error pops when I attempt to pay, what can I do?",payment_issue
"an error pops when I attempt to pay, what do I have to do?",payment_issue
"an error pops when I attempt to pay, what should I do?",payment_issue
an error pops when I try to make a payment,payment_issue
an error pops when i try to make a payment for my online order,payment_issue
"an error pops when i try to make a payment for my online order, can u help me?",payment_issue
"an error pops when I try to make a payment for my online order, can you help me?",payment_issue
"an error pops when I try to make a payment for my online order, what can I do?",payment_issue
"an error pops when I try to make a payment for my online order, what do I have to do?",payment_issue
"an error pops when I try to make a payment for my online order, what should I do?",payment_issue
an error pops when i try to make a payment for my order,payment_issue
"an error pops when I try to make a payment for my order, can you help me?",payment_issue
"an error pops when i try to make a payment for my order, what can i do?",payment_issue
"an error pops when I try to make a payment for my order, what do I have to do?",payment_issue
"an error pops when I try to make a payment with card, can you help me?",payment_issue
"an error pops when i try to make a payment with card, what can i do?",payment_issue
"an error pops when I try to make a payment with card, what do I have to do?",payment_issue
"an error pops when I try to make a payment, can you help me?",payment_issue
"an error pops when i try to make a payment, what can i do?",payment_issue
"an error pops when I try to make a payment, what do I have to do?",payment_issue
"an error pops when I try to make a payment, what should I do?",payment_issue
"an error pops when i try to make an payment , can u help me?",payment_issue
an error pops when I try to make an payment for my order,payment_issue
"an error pops when I try to make an payment for my order, what should I do?",payment_issue
an error pops when I try to pay,payment_issue
an error pops when I try to pay for my online order,payment_issue
"an error pops when I try to pay for my online order, can you help me?",payment_issue
"an error pops when i try to pay for my online order, what can i do?",payment_issue
"an error pops when I try to pay for my online order, what do I have to do?",payment_issue
"an error pops when i try to pay for my online order, what should i do?",payment_issue
an error pops when i try to pay for my order,payment_issue
"an error pops when I try to pay for my order, can you help me?",payment_issue
"an error pops when I try to pay for my order, what can I do?",payment_issue
"an error pops when I try to pay for my order, what do I have to do?",payment_issue
"an error pops when i try to pay for my order, what should i do?",payment_issue
an error pops when i try to pay with card,payment_issue
"an error pops when i try to pay with card, can u help me?",payment_issue
"an error pops when I try to pay with card, can you help me?",payment_issue
"an error pops when I try to pay with card, could you help me?",payment_issue
"an error pops when I try to pay with card, what can I do?",payment_issue
"an error pops when I try to pay with card, what do I have to do?",payment_issue
"an error pops when I try to pay with card, what should I do?",payment_issue
"an error pops when i try to pay, can u help me?",payment_issue
"an error pops when I try to pay, can you help me?",payment_issue
"an error pops when I try to pay, what can I do?",payment_issue
"an error pops when I try to pay, what do I have to do?",payment_issue
"an error pops when I try to pay, what should I do?",payment_issue
an u ask an agent if I can get a bill?,get_invoice
an you tell me if I can own more than one profile?,create_account
ask an agent  how to inform of a fucking problem paying,payment_issue
ask an agent  what the no to contact customer support is,contact_customer_service
ask an agent fi i can lodge a complaint for a service,complaint
ask an agent for information about downloading a bill,get_invoice
ask an agent for information about downloading some bills,get_invoice
ask an agent for information about downloading some invoices,get_invoice
ask an agent for information about getting an invoice,get_invoice
ask an agent for information about requesting a bill,get_invoice
ask an agent for information about seeing some bills,get_invoice
ask an agent for information about seeing some invoices,get_invoice
ask an agent hoe i can notify a fucking problem with my payment,payment_issue
ask an agent hos i can edit my profile,edit_account
ask an agent how i can call customer support,contact_customer_service
ask an agent how i can cancel my account,delete_account
ask an agent how i can close my profile,delete_account
ask an agent how i can create an account,create_account
ask an agent how i can delete my user account,delete_account
ask an agent how I can download some bills,get_invoice
"ask an agent how I can edit my fucking profile, please",edit_account
ask an agent how i can file a complaint,complaint
ask an agent how i can file a consumer complaint for a service,complaint
ask an agent how I can get some bills,get_invoice
"ask an agent how i can inform of a problem with my payment, please",payment_issue
ask an agent how i can inform of an issue making a payment,payment_issue
ask an agent how i can inform of fucking payment problems,payment_issue
ask an agent how i can inform of fucking problems making a payment,payment_issue
ask an agent how i can inform of issues paying,payment_issue
"ask an agent how I can inform of issues with my apyment, please",payment_issue
ask an agent how i can inform of payment issues,payment_issue
ask an agent how i can inform of problems paying,payment_issue
ask an agent how i can lodge a consumer complaint,complaint
ask an agent how i can make a consumer complaint for a service,complaint
"ask an agent how i can make a consumer complaint, please",complaint
ask an agent how I can make an complant,complaint
ask an agent how i can notify a payment issue,payment_issue
ask an agent how i can notify a payment problem,payment_issue
"ask an agent how I can notify an issue making a payment, please",payment_issue
ask an agent how i can notify an issue paying,payment_issue
"ask an agent how I can notify issues making a payment, please",payment_issue
ask an agent how i can notify isues making a payment,payment_issue
ask an agent how i can notify problems paying,payment_issue
ask an agent how i can notify problems with my payment,payment_issue
ask an agent how i can obtain a reimbursement,get_refund
ask an agent how I can obtain some bills,get_invoice
ask an agent how i can open a user account,create_account
ask an agent how i can open an account,create_account
ask an agent how i can open an online account,create_account
"ask an agent how i can remove my account, please",delete_account
"ask an agent how i can remove my online account, please",delete_account
ask an agent how i can remove my user account,delete_account
ask an agent how i can report  payment problems,payment_issue
"ask an agent how I can report a fucking issue with my payment, please",payment_issue
ask an agent how i can report a payment issue,payment_issue
ask an agent how i can report a payment problem,payment_issue
ask an agent how i can report a problem making a payment,payment_issue
ask an agent how i can report an issue making a payment,payment_issue
"ask an agent how i can report an issue sith my payment, please",payment_issue
ask an agent how i can report fucking problems with my payment,payment_issue
ask an agent how i can report issues making a payment,payment_issue
ask an agent how i can report issues paying,payment_issue
"ask an agent how i can report payment problems, please",payment_issue
ask an agent how i can report problems paying,payment_issue
ask an agent how I can request a bill,get_invoice
"ask an agent how I can request a bill, please",get_invoice
ask an agent how i can request a refund,get_refund
"ask an agent how i can request a reimbursement, please",get_refund
ask an agent how I can request somebills,get_invoice
ask an agent how i can send an email to client service,contact_customer_service
ask an agent how i can send an email to customer service,contact_customer_service
ask an agent how i can solve a payment problem,payment_issue
ask an agent how i can solve an issue with my payment,payment_issue
"ask an agent how I can solve fucking issues with my payment, please",payment_issue
ask an agent how i can solve issues paying,payment_issue
ask an agent how i can solve payment issues,payment_issue
ask an agent how i can solve payment problems,payment_issue
ask an agent how i can solve problems with my payment,payment_issue
ask an agent how i can talk to customer service,contact_customer_service
ask an agent how i can update the information on my profile,edit_account
ask an agent how i cn speak with customer service,contact_customer_service
"ask an agent how I could cancel my online account, please",delete_account
"ask an agent how I could close my online account, please",delete_account
ask an agent how i could create a user account,create_account
ask an agent how I could get some bills,get_invoice
ask an agent how i could inform of a fucking issue paying,payment_issue
"ask an agent how i could inform of a fucking issuepaying, please",payment_issue
"ask an agent how I could inform of a fucking problem making a payment, please",payment_issue
"ask an agent how i could inform of a problem paying, please",payment_issue
"ask an agent how i could make a fucking complaint for a service, please",complaint
"ask an agent how I could modify my shipping address, please",change_shipping_address
ask an agent how I could notify a payment issue,payment_issue
ask an agent how I could notify problems making a payment,payment_issue
ask an agent how i could remove my account,delete_account
"ask an agent how i could remove my account, please",delete_account
"ask an agent how i could report a fucking problem with my payment, please",payment_issue
"ask an agent how I could report an issue with my payment, please",payment_issue
"ask an agent how i could report fucking problems with my payment, please",payment_issue
"ask an agent how i could report payment issues, please",payment_issue
"ask an agent how I could report problems making a payment, please",payment_issue
"ask an agent how i could solve a fucking issue making a payment, please",payment_issue
"ask an agent how I could solve a fucking problem making a payment, please",payment_issue
"ask an agent how I could solve payment issues, please",payment_issue
ask an agent how i could solve payment problems,payment_issue
"ask an agent how i could solve problems paying, please",payment_issue
ask an agent how i could solve problems with my payment,payment_issue
ask an agent how I could speak with Customer Suppoet,contact_customer_service
"ask an agent how i could speak with fucking client service, please",contact_customer_service
ask an agent how I could talk to fucking Client Service,contact_customer_service
ask an agent how I ould report problems maikng a payment,payment_issue
ask an agent how to call client service,contact_customer_service
"ask an agent how to call customer supoort, please",contact_customer_service
ask an agent how to cancel my profile,delete_account
ask an agent how to close my account,delete_account
ask an agent how to close my profile,delete_account
"ask an agent how to close my user account, please",delete_account
ask an agent how to close my usre account,delete_account
ask an agent how to contact customer service,contact_customer_service
ask an agent how to contact customer support,contact_customer_service
ask an agent how to create an account,create_account
ask an agent how to delete my online account,delete_account
ask an agent how to delete my profile,delete_account
ask an agent how to delete my user account,delete_account
ask an agent how to download some bills,get_invoice
ask an agent how to edit my profile,edit_account
ask an agent how to edit the information on my profile,edit_account
ask an agent how to file a complaint,complaint
ask an agent how to file a complaint for a service,complaint
ask an agent how to file an consumer complaint,complaint
ask an agent how to get a refund,get_refund
ask an agent how to get some bills,get_invoice
ask an agent how to inform of a problem making a payment,payment_issue
ask an agent how to inform of a problem with my payment,payment_issue
ask an agent how to inform of an issue making a payment,payment_issue
ask an agent how to inform of an issue with my payment,payment_issue
ask an agent how to inform of an isue paying,payment_issue
"ask an agent how to inform of fucking issues paying, please",payment_issue
ask an agent how to inform of payment problems,payment_issue
ask an agent how to inform of problems making a payment,payment_issue
ask an agent how to lodge a complaint,complaint
ask an agent how to lodge a consumer complaint,complaint
ask an agent how to make a complaint for a service,complaint
ask an agent how to make a consumer complaint,complaint
ask an agent how to make a consumer complaint for a service,complaint
ask an agent how to make changes ot the information on my fucking profile,edit_account
ask an agent how to make changes to my shipping address,change_shipping_address
ask an agent how to modify my profile,edit_account
ask an agent how to notify a payment problem,payment_issue
ask an agent how to notify a problem paying,payment_issue
ask an agent how to notify a problem with my payment,payment_issue
ask an agent how to notify an issue paying,payment_issue
"ask an agent how to notify an issue with my payment, please",payment_issue
ask an agent how to notify issues paying,payment_issue
ask an agent how to notify issues with my payment,payment_issue
"ask an agent how to notify issues with my payment, please",payment_issue
"ask an agent how to notify payment issues, please",payment_issue
ask an agent how to notify problems making a payment,payment_issue
ask an agent how to notify problems paying,payment_issue
"ask an agent how to obtain a reimbursement, please",get_refund
ask an agent how to obtain some bills,get_invoice
ask an agent how to open an online account,create_account
ask an agent how to receive a reimbursement,get_refund
ask an agent how to remove my online account,delete_account
ask an agent how to remove my user account,delete_account
ask an agent how to report a problem paying,payment_issue
ask an agent how to report a problem with my payment,payment_issue
ask an agent how to report an issue  poaying,payment_issue
ask an agent how to report an issue making a payment,payment_issue
ask an agent how to report an issue with my payment,payment_issue
ask an agent how to report fucking payment problems,payment_issue
ask an agent how to report fucking problems paying,payment_issue
ask an agent how to report fucking problems with my payment,payment_issue
"ask an agent how to report issues making a payment, please",payment_issue
ask an agent how to request a reimbursement,get_refund
ask an agent how to request some inovices,get_invoice
ask an agent how to see some invoices,get_invoice
ask an agent how to send an email to client service,contact_customer_service
ask an agent how to solve  issues paying,payment_issue
ask an agent how to solve a problem paying,payment_issue
ask an agent how to solve a problem with my payment,payment_issue
ask an agent how to solve an issue making a payment,payment_issue
ask an agent how to solve fucking payment issues,payment_issue
"ask an agent how to solve issues making a payment, please",payment_issue
ask an agent how to speak with customer service,contact_customer_service
"ask an agent how to update my shipping address, please",change_shipping_address
ask an agent if customer support is available,contact_customer_service
ask an agent if i can cancel my account,delete_account
ask an agent if i can close my account,delete_account
ask an agent if i can contact customer support,contact_customer_service
ask an agent if i can create an online account,create_account
ask an agent if i can delete my profile,delete_account
ask an agent if i can delete my user account,delete_account
ask an agent if i can download a bill,get_invoice
ask an agent if i can download some iblls,get_invoice
ask an agent if i can download some invoices,get_invoice
ask an agent if i can edit my shipping address,change_shipping_address
"ask an agent if i can edit my shipping address, please",change_shipping_address
ask an agent if i can get a reimbursement,get_refund
ask an agent if i can inform of fucking issues making a payment,payment_issue
"ask an agent if i can inform of fucking problems with my payment, please",payment_issue
ask an agent if i can inform of issues making a payment,payment_issue
ask an agent if i can inform of issues paying,payment_issue
"ask an agent if i can inform of issues paying, please",payment_issue
ask an agent if i can inform of issues with my payment,payment_issue
ask an agent if i can inform of payment problems,payment_issue
ask an agent if i can inform of problems paying,payment_issue
"ask an agent if i can lodge a consumer complaint, please",complaint
ask an agent if i can make a consumer complaint,complaint
ask an agent if i can modify the information on my profile,edit_account
ask an agent if i can notify a problem majing a payment,payment_issue
ask an agent if i can notify a problem paying,payment_issue
ask an agent if i can notify an issue making a payment,payment_issue
"ask an agent if i can notify issues making a payment, please",payment_issue
ask an agent if i can notify issues wih my payment,payment_issue
"ask an agent if i can notify paymednt problems, please",payment_issue
ask an agent if I can obtain a bill,get_invoice
ask an agent if i can obtain a reimbursement,get_refund
ask an agent if i can obtain an invoice,get_invoice
ask an agent if i can obtain some bills,get_invoice
ask an agent if i can obtain some invoices,get_invoice
ask an agent if i can open a user account,create_account
ask an agent if i can open an online account,create_account
ask an agent if i can receive a refund,get_refund
ask an agent if i can receive a reimbursement,get_refund
"ask an agent if i can remove my account, please",delete_account
ask an agent if i can remove my online account,delete_account
ask an agent if i can remove my profile,delete_account
ask an agent if i can report  issues paying,payment_issue
"ask an agent if i can report a fucking problem with my payment, please",payment_issue
ask an agent if I can report an fucking payment issuue,payment_issue
ask an agent if i can report an issue paying,payment_issue
ask an agent if i can report issues with my payment,payment_issue
ask an agent if i can report payment issues,payment_issue
ask an agent if i can report payment problems,payment_issue
ask an agent if i can report problems paying,payment_issue
ask an agent if i can report problems with my payment,payment_issue
ask an agent if i can request a bill,get_invoice
ask an agent if I can request some bills,get_invoice
ask an agent if I can see a bill,get_invoice
ask an agent if I can see some bills,get_invoice
ask an agent if i can see some biols,get_invoice
"ask an agent if i can see some fucking bills, please",get_invoice
ask an agent if I can see some invoices,get_invoice
ask an agent if i can see somebilld,get_invoice
ask an agent if I can solve a fucking issue with my payment,payment_issue
"ask an agent if I can solve a fucking payment problem, please",payment_issue
ask an agent if i can solve a payment problem,payment_issue
ask an agent if i can solve a problem making a payment,payment_issue
"ask an agent if I can solve a problem making a payment, please",payment_issue
"ask an agent if i can solve a problem with my payment, please",payment_issue
ask an agent if i can solve an issue making a payment,payment_issue
ask an agent if i can solve an issue paying,payment_issue
ask an agent if i can solve payment issues,payment_issue
ask an agent if i can solve problems making a paymeent,payment_issue
"ask an agent if I can solve problems making an payment, please",payment_issue
ask an agent if i can solve problems with my payment,payment_issue
"ask an agent if I can solve problems with my payment, please",payment_issue
ask an agent if i can speak with customer service,contact_customer_service
ask an agent if i can talk to customer service,contact_customer_service
ask an agent if i can update my shipping address,change_shipping_address
ask an agent if i canobtain a bill,get_invoice
"ask an agent if I could close my profile, please",delete_account
ask an agent if I could delete my account,delete_account
"ask an agent if i could delete my online account, please",delete_account
ask an agent if I could delete my user account,delete_account
"ask an agent if I could inform of a fucking issue making a payment, please",payment_issue
"ask an agent if I could inform of fucking problems making a payment, please",payment_issue
"ask an agent if i could inform of payment problems, please",payment_issue
ask an agent if I could lodge a complaint for a service,complaint
ask an agent if i could notify a fucking problem with my payment,payment_issue
"ask an agent if i could notify an issue making a payment, please",payment_issue
"ask an agent if I could notify an issue with my payment, please",payment_issue
ask an agent if i could obtain a fucking bill,get_invoice
"ask an agent if i could obtain a refund, please",get_refund
ask an agent if i could remove my fucking user account,delete_account
ask an agent if I could remove my user account,delete_account
"ask an agent if I could report a fucking issue with my payment, please",payment_issue
"ask an agent if I could report a fucking problem paiyng, please",payment_issue
ask an agent if i could report issues making a payment,payment_issue
"ask an agent if I could report issues making a payment, please",payment_issue
ask an agent if i could report payment problems,payment_issue
ask an agent if I could request an invoice,get_invoice
"ask an agent if I could see some invoices, please",get_invoice
ask an agent if i could solve a fucking problem paying,payment_issue
"ask an agent if I could solve fucking issues paying, please",payment_issue
ask an agent if I could solve issues weith my payment,payment_issue
ask an agent if I could update my fucking shipping address,change_shipping_address
ask an agent if there is a free number to contact client service,contact_customer_service
ask an agent if there is a free number to contact customer support,contact_customer_service
ask an agent if there is a free phone number to contact client service,contact_customer_service
ask an agent to call Client Service,contact_customer_service
ask an agent to call customer support,contact_customer_service
"ask an agent to close my online account , please",delete_account
"ask an agent to close my online account, please",delete_account
ask an agent to close my profile,delete_account
ask an agent to contact client service,contact_customer_service
ask an agent to create,create_account
ask an agent to create a profile,create_account
ask an agent to create an account,create_account
ask an agent to delete my account,delete_account
ask an agent to delete my profile,delete_account
ask an agent to delete my user account,delete_account
ask an agent to edit my shipping address,change_shipping_address
ask an agent to file a complaint,complaint
ask an agent to get a reimbursement,get_refund
ask an agent to inform of a problem with my payment,payment_issue
ask an agent to inform of fucking problems paying,payment_issue
"ask an agent to inform of issues with my payment, please",payment_issue
ask an agent to inform of payment issues,payment_issue
"ask an agent to lodge a complaint for a service, please",complaint
ask an agent to lodge a consumer complaint,complaint
ask an agent to lodge a consumer complaint for a service,complaint
ask an agent to make  changes to my shipping address,change_shipping_address
ask an agent to notify a fucking problem with my payment,payment_issue
ask an agent to notify a payment issue,payment_issue
"ask an agent to notify a payment issue, please",payment_issue
ask an agent to notify a payment problem,payment_issue
ask an agent to notify a problem making a payment,payment_issue
"ask an agent to notify an issue making a payment, please",payment_issue
ask an agent to notify an issue with my payment,payment_issue
ask an agent to notify fucking issues with my payment,payment_issue
ask an agent to notify issues with my payment,payment_issue
ask an agent to notify problems making a payment,payment_issue
ask an agent to notify problems paying,payment_issue
ask an agent to open a user account,create_account
ask an agent to report a fucking issue making a payment,payment_issue
ask an agent to report a payment issue,payment_issue
ask an agent to report a payment problem,payment_issue
ask an agent to report a problem making a payment,payment_issue
ask an agent to report problems making a payment,payment_issue
ask an agent to request a reimbursement,get_refund
ask an agent to sdpeak with client service,contact_customer_service
"ask an agent to solve a problem making a payment, please",payment_issue
ask an agent to solve a problem with my payment,payment_issue
"ask an agent to solve an isaue paying, please",payment_issue
ask an agent to solve issues paying,payment_issue
ask an agent to speak with customer support,contact_customer_service
"ask an agent to speak with customer support,please",contact_customer_service
"ask an agent were I can notify a fucking payment problem, please",payment_issue
ask an agent what he email address of trhe Customer Support,contact_customer_service
ask an agent what hte email address to contact Customer Support is,contact_customer_service
"ask an agent what i can get a reimbursement for, please",get_refund
ask an agent what the email address to contact Client Service is,contact_customer_service
ask an agent what the email address to contacxt customer support is,contact_customer_service
ask an agent what the email of client service is,contact_customer_service
"ask an agent what the email of the Customer Support, please",contact_customer_service
ask an agent what the email to contact Client Service is,contact_customer_service
ask an agent what the free number of client service is,contact_customer_service
ask an agent what the free number to contact Customer Service is,contact_customer_service
"ask an agent what the free phone number of client service is, please",contact_customer_service
"ask an agent what the free phone number to contact Customer Service is, please",contact_customer_service
ask an agent what the fucking email address of client setvice is,contact_customer_service
"ask an agent what the fucking email address to contact Customr Support is, please",contact_customer_service
"ask an agent what the fucking phone number of Customer Service is, please",contact_customer_service
ask an agent what the hours of customer support are,contact_customer_service
ask an agent what the mail address of the Customer Support,contact_customer_service
ask an agent what the mail address to contact Client Service is,contact_customer_service
ask an agent what the mail address to contact customer support is,contact_customer_service
ask an agent what the mail of the Customer Service,contact_customer_service
ask an agent what the mail to contact customer service is,contact_customer_service
ask an agent what the makl to contact client service is,contact_customer_service
ask an agent what the number of Customer Service is,contact_customer_service
ask an agent what the phone number of client service is,contact_customer_service
ask an agent what the phone number to contact customer support is,contact_customer_service
"ask an agent when I will get a reimbursement, please",get_refund
ask an agent where i can cancel my account,delete_account
"ask an agent where I can cancel my fucking user account, please",delete_account
ask an agent where i can cancel my online account,delete_account
"ask an agent where i can close my fucking user account, please",delete_account
ask an agent where i can close my user account,delete_account
ask an agent where i can create,create_account
ask an agent where i can create an account,create_account
ask an agent where i can delete my online account,delete_account
ask an agent where i can file a complaint for a service,complaint
ask an agent where i can iknform of problems with my payment,payment_issue
ask an agent where i can inform of a problem making a payment,payment_issue
ask an agent where i can inform of an issue paying,payment_issue
ask an agent where i can inform of an issue with my payment,payment_issue
ask an agent where i can inform of issues paying,payment_issue
"ask an agent where I can lodge a consumer complaint for a service, please",complaint
"ask an agent where i can lodge a fucking complaint for a service, please",complaint
ask an agent where i can logde a complaint for a service,complaint
ask an agent where i can make a consumer complaint,complaint
"ask an agent where I can make a consumer complaint, please",complaint
ask an agent where i can notify a problem making a payment,payment_issue
ask an agent where i can notify a problem with my payment,payment_issue
ask an agent where I can notify fucking payment issues,payment_issue
"ask an agent where i can notify issues making a payent , please",payment_issue
ask an agent where i can notify issues making a payment,payment_issue
ask an agent where i can notify issues with my payment,payment_issue
ask an agent where i can notify problems making a payment,payment_issue
ask an agent where i can notify problems paying,payment_issue
ask an agent where i can notify problems with my payment,payment_issue
ask an agent where i can obtain a reimbursement,get_refund
ask an agent where i can receive a refund,get_refund
ask an agent where i can receive a reimbursement,get_refund
ask an agent where i can report a problem paying,payment_issue
ask an agent where i can report a problem with my payment,payment_issue
ask an agent where i can report an issue making a payment,payment_issue
ask an agent where i can report an issue paying,payment_issue
ask an agent where i can report issues with my payment,payment_issue
"ask an agent where I can report issues with my payment, please",payment_issue
